Accident_ID,Date,Time,State,City,Latitude,Longitude,Road_Type,Weather_Condition,Lighting_Condition,Primary_Cause,Vehicle_Type,Severity,Fatalities,Injuries
ACC0001,2024-01-01,03:51,Madhya Pradesh,Bhopal,19.3366,96.2259,State Highway,Clear,Darkness,Drunk Driving,Two-Wheeler,Moderate,0,1
ACC0002,2024-01-01,05:30,Assam,Guwahati,36.1609,81.0262,Expressway,Clear,Twilight,Overspeeding,Auto Rickshaw,Moderate,0,1
ACC0003,2024-01-02,23:33,Himachal Pradesh,Shimla,29.7742,77.5868,Expressway,Clear,Darkness,Overspeeding,SUV,Moderate,0,1
ACC0004,2024-01-02,08:22,Madhya Pradesh,Bhopal,25.8808,83.125,State Highway,Clear,Daylight,Overspeeding,Car / Sedan,Moderate,1,1
ACC0005,2024-01-03,16:49,Kerala,Thiruvananthapuram,12.9557,81.2261,State Highway,Clear,Daylight,Overspeeding,SUV,Minor,0,2
ACC0006,2024-01-03,17:37,Nagaland,Kohima,12.955,71.7114,National Highway,Rainy,Daylight,Overspeeding,Truck / Commercial,Severe / Fatal,1,5
ACC0007,2024-01-03,17:14,Himachal Pradesh,Shimla,10.096,86.9635,State Highway,Rainy,Daylight,Weather Conditions,Truck / Commercial,Minor,0,2
ACC0008,2024-01-03,23:10,Kerala,Thiruvananthapuram,33.6923,74.8571,National Highway,Clear,Darkness,Overspeeding,Car / Sedan,Moderate,0,4
ACC0009,2024-01-04,07:06,West Bengal,Kolkata,25.9526,86.3583,City Road,Clear,Daylight,Overspeeding,Car / Sedan,Moderate,0,2
ACC0010,2024-01-04,01:15,Chhattisgarh,Raipur,29.0757,87.2307,Rural Road,Clear,Darkness,Distracted Driving,Two-Wheeler,Minor,0,1
ACC0011,2024-01-06,10:42,Uttarakhand,Dehradun,9.0011,73.0327,Rural Road,Rainy,Daylight,Fatigue,Bus,Minor,0,1
ACC0012,2024-01-07,06:15,Madhya Pradesh,Bhopal,36.7214,70.4485,City Road,Clear,Daylight,Overspeeding,SUV,Moderate,0,2
ACC0013,2024-01-07,00:17,Punjab,Ludhiana,32.7073,90.9517,Expressway,Clear,Darkness,Overspeeding,Two-Wheeler,Severe / Fatal,1,1
ACC0014,2024-01-07,09:34,Karnataka,Bengaluru,14.6003,81.8043,City Road,Rainy,Daylight,Drunk Driving,Bus,Moderate,0,4
ACC0015,2024-01-08,16:52,Madhya Pradesh,Bhopal,13.7093,70.3577,National Highway,Clear,Daylight,Mechanical Failure,Bus,Moderate,0,3
ACC0016,2024-01-08,13:50,Assam,Guwahati,13.7554,97.0537,Expressway,Clear,Daylight,Weather Conditions,Auto Rickshaw,Moderate,0,3
ACC0017,2024-01-08,08:58,Madhya Pradesh,Bhopal,17.2839,70.3467,State Highway,Clear,Daylight,Distracted Driving,Truck / Commercial,Moderate,0,2
ACC0018,2024-01-09,15:47,Kerala,Thiruvananthapuram,23.7229,88.5085,State Highway,Cloudy,Daylight,Overspeeding,Auto Rickshaw,Moderate,1,3
ACC0019,2024-01-09,07:03,Assam,Guwahati,21.0128,96.7348,City Road,Foggy,Daylight,Drunk Driving,Two-Wheeler,Moderate,0,2
ACC0020,2024-01-10,00:48,Tripura,Agartala,16.9039,75.5166,National Highway,Rainy,Darkness,Overspeeding,Truck / Commercial,Severe / Fatal,3,5
ACC0021,2024-01-10,16:14,Rajasthan,Jaipur,26.2661,72.7541,State Highway,Clear,Daylight,Distracted Driving,Truck / Commercial,Minor,0,1
ACC0022,2024-01-10,14:36,Gujarat,Ahmedabad,12.4732,72.1595,Rural Road,Clear,Daylight,Distracted Driving,Two-Wheeler,Minor,0,1
ACC0023,2024-01-11,16:54,Sikkim,Gangtok,16.9306,77.3433,National Highway,Cloudy,Daylight,Fatigue,Two-Wheeler,Minor,0,2
ACC0024,2024-01-12,01:51,Assam,Guwahati,19.0978,71.5798,State Highway,Cloudy,Darkness,Overspeeding,Auto Rickshaw,Moderate,0,2
ACC0025,2024-01-13,17:24,Nagaland,Kohima,21.7172,88.4266,Rural Road,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,4
ACC0026,2024-01-13,14:22,Manipur,Imphal,31.3271,70.4753,Expressway,Rainy,Daylight,Drunk Driving,Truck / Commercial,Moderate,1,3
ACC0027,2024-01-15,13:59,Goa,Panaji,14.2305,83.2185,State Highway,Clear,Daylight,Distracted Driving,Two-Wheeler,Minor,0,2
ACC0028,2024-01-15,14:53,Sikkim,Gangtok,23.4156,97.1059,National Highway,Clear,Daylight,Weather Conditions,Two-Wheeler,Moderate,0,3
